,Date,State/UnionTerritory,Confirmed,Density,Intensity
151,2020-03-15,Karnataka,6,319.0,0.018808777429467086
152,2020-03-15,Kerala,22,859.0,0.025611175785797437
153,2020-03-15,Maharashtra,32,365.0,0.08767123287671233
154,2020-03-15,Punjab,1,550.0,0.0018181818181818182
155,2020-03-15,Rajasthan,4,201.0,0.01990049751243781
156,2020-03-15,Tamil Nadu,1,555.0,0.0018018018018018018
157,2020-03-15,Telengana,3,312.0,0.009615384615384616
158,2020-03-15,Jammu and Kashmir,2,98.0,0.02040816326530612
159,2020-03-15,Ladakh,3,2.8,1.0714285714285714
160,2020-03-15,Uttar Pradesh,13,828.0,0.01570048309178744
161,2020-03-15,Uttarakhand,1,189.0,0.005291005291005291
162,2020-03-16,Andhra Pradesh,1,303.0,0.0033003300330033004
163,2020-03-16,Delhi,7,11297.0,0.0006196335310259361
164,2020-03-16,Haryana,14,573.0,0.02443280977312391
165,2020-03-16,Karnataka,6,319.0,0.018808777429467086
166,2020-03-16,Kerala,23,859.0,0.02677532013969732
167,2020-03-16,Maharashtra,32,365.0,0.08767123287671233
168,2020-03-16,Odisha,1,269.0,0.0037174721189591076
169,2020-03-16,Punjab,1,550.0,0.0018181818181818182
170,2020-03-16,Rajasthan,4,201.0,0.01990049751243781
171,2020-03-16,Tamil Nadu,1,555.0,0.0018018018018018018
172,2020-03-16,Telengana,3,312.0,0.009615384615384616
173,2020-03-16,Jammu and Kashmir,3,98.0,0.030612244897959183
174,2020-03-16,Ladakh,4,2.8,1.4285714285714286
175,2020-03-16,Uttar Pradesh,13,828.0,0.01570048309178744
176,2020-03-16,Uttarakhand,1,189.0,0.005291005291005291
177,2020-03-17,Andhra Pradesh,1,303.0,0.0033003300330033004
178,2020-03-17,Delhi,8,11297.0,0.0007081526068867841
179,2020-03-17,Haryana,15,573.0,0.02617801047120419
180,2020-03-17,Karnataka,11,319.0,0.034482758620689655
181,2020-03-17,Kerala,26,859.0,0.030267753201396973
182,2020-03-17,Maharashtra,39,365.0,0.10684931506849316
183,2020-03-17,Odisha,1,269.0,0.0037174721189591076
184,2020-03-17,Punjab,1,550.0,0.0018181818181818182
185,2020-03-17,Rajasthan,4,201.0,0.01990049751243781
186,2020-03-17,Tamil Nadu,1,555.0,0.0018018018018018018
187,2020-03-17,Telengana,5,312.0,0.016025641025641024
188,2020-03-17,Jammu and Kashmir,3,98.0,0.030612244897959183
189,2020-03-17,Ladakh,6,2.8,2.142857142857143
190,2020-03-17,Uttar Pradesh,15,828.0,0.018115942028985508
191,2020-03-17,Uttarakhand,1,189.0,0.005291005291005291
192,2020-03-18,Andhra Pradesh,1,303.0,0.0033003300330033004
193,2020-03-18,Delhi,10,11297.0,0.0008851907586084802
194,2020-03-18,Haryana,17,573.0,0.029668411867364748
195,2020-03-18,Karnataka,11,319.0,0.034482758620689655
196,2020-03-18,Kerala,27,859.0,0.03143189755529686
197,2020-03-18,Maharashtra,42,365.0,0.11506849315068493
198,2020-03-18,Odisha,1,269.0,0.0037174721189591076
199,2020-03-18,Puducherry,1,2598.0,0.00038491147036181676
200,2020-03-18,Punjab,1,550.0,0.0018181818181818182
201,2020-03-18,Rajasthan,4,201.0,0.01990049751243781
202,2020-03-18,Tamil Nadu,1,555.0,0.0018018018018018018
203,2020-03-18,Telengana,6,312.0,0.019230769230769232
204,2020-03-18,Jammu and Kashmir,3,98.0,0.030612244897959183
205,2020-03-18,Ladakh,8,2.8,2.857142857142857
206,2020-03-18,Uttar Pradesh,16,828.0,0.01932367149758454
207,2020-03-18,Uttarakhand,1,189.0,0.005291005291005291
208,2020-03-18,West Bengal,1,1029.0,0.0009718172983479105
209,2020-03-19,Andhra Pradesh,2,303.0,0.006600660066006601
210,2020-03-19,Chhattisgarh,1,189.0,0.005291005291005291
211,2020-03-19,Delhi,12,11297.0,0.0010622289103301762
212,2020-03-19,Haryana,17,573.0,0.029668411867364748
213,2020-03-19,Karnataka,14,319.0,0.0438871473354232
214,2020-03-19,Kerala,27,859.0,0.03143189755529686
215,2020-03-19,Maharashtra,47,365.0,0.12876712328767123
216,2020-03-19,Odisha,1,269.0,0.0037174721189591076
217,2020-03-19,Puducherry,1,2598.0,0.00038491147036181676
218,2020-03-19,Punjab,2,550.0,0.0036363636363636364
219,2020-03-19,Rajasthan,7,201.0,0.03482587064676617
220,2020-03-19,Tamil Nadu,2,555.0,0.0036036036036036037
221,2020-03-19,Telengana,6,312.0,0.019230769230769232
222,2020-03-19,Chandigarh,1,9252.0,0.00010808473843493298
223,2020-03-19,Jammu and Kashmir,4,98.0,0.04081632653061224
224,2020-03-19,Ladakh,8,2.8,2.857142857142857
225,2020-03-19,Uttar Pradesh,19,828.0,0.022946859903381644
226,2020-03-19,Uttarakhand,1,189.0,0.005291005291005291
227,2020-03-19,West Bengal,1,1029.0,0.0009718172983479105
228,2020-03-20,Andhra Pradesh,3,303.0,0.009900990099009901
229,2020-03-20,Chhattisgarh,1,189.0,0.005291005291005291
230,2020-03-20,Delhi,17,11297.0,0.0015048242896344162
231,2020-03-20,Gujarat,5,308.0,0.016233766233766232
232,2020-03-20,Haryana,17,573.0,0.029668411867364748
233,2020-03-20,Karnataka,15,319.0,0.047021943573667714
234,2020-03-20,Kerala,28,859.0,0.03259604190919674
235,2020-03-20,Maharashtra,52,365.0,0.14246575342465753
236,2020-03-20,Odisha,2,269.0,0.007434944237918215
237,2020-03-20,Puducherry,1,2598.0,0.00038491147036181676
238,2020-03-20,Punjab,2,550.0,0.0036363636363636364
239,2020-03-20,Rajasthan,17,201.0,0.0845771144278607
240,2020-03-20,Tamil Nadu,3,555.0,0.005405405405405406
241,2020-03-20,Telengana,17,312.0,0.05448717948717949
242,2020-03-20,Chandigarh,1,9252.0,0.00010808473843493298
243,2020-03-20,Jammu and Kashmir,4,98.0,0.04081632653061224
244,2020-03-20,Ladakh,10,2.8,3.5714285714285716
245,2020-03-20,Uttar Pradesh,23,828.0,0.027777777777777776
246,2020-03-20,Uttarakhand,3,189.0,0.015873015873015872
247,2020-03-20,West Bengal,2,1029.0,0.001943634596695821
248,2020-03-21,Andhra Pradesh,3,303.0,0.009900990099009901
249,2020-03-21,Chhattisgarh,1,189.0,0.005291005291005291
250,2020-03-21,Delhi,26,11297.0,0.0023014959723820483
251,2020-03-21,Gujarat,7,308.0,0.022727272727272728
252,2020-03-21,Haryana,17,573.0,0.029668411867364748
253,2020-03-21,Himachal Pradesh,2,123.0,0.016260162601626018
254,2020-03-21,Karnataka,15,319.0,0.047021943573667714
255,2020-03-21,Kerala,40,859.0,0.046565774155995346
256,2020-03-21,Madhya Pradesh,4,236.0,0.01694915254237288
257,2020-03-21,Maharashtra,63,365.0,0.1726027397260274
258,2020-03-21,Odisha,2,269.0,0.007434944237918215
259,2020-03-21,Puducherry,1,2598.0,0.00038491147036181676
260,2020-03-21,Punjab,13,550.0,0.023636363636363636
261,2020-03-21,Rajasthan,17,201.0,0.0845771144278607
262,2020-03-21,Tamil Nadu,3,555.0,0.005405405405405406
263,2020-03-21,Telengana,21,312.0,0.0673076923076923
264,2020-03-21,Chandigarh,1,9252.0,0.00010808473843493298
265,2020-03-21,Jammu and Kashmir,4,98.0,0.04081632653061224
266,2020-03-21,Ladakh,13,2.8,4.642857142857143
267,2020-03-21,Uttar Pradesh,24,828.0,0.028985507246376812
268,2020-03-21,Uttarakhand,3,189.0,0.015873015873015872
269,2020-03-21,West Bengal,3,1029.0,0.0029154518950437317
270,2020-03-22,Andhra Pradesh,5,303.0,0.0165016501650165
271,2020-03-22,Bihar,2,1102.0,0.0018148820326678765
272,2020-03-22,Chhattisgarh,1,189.0,0.005291005291005291
273,2020-03-22,Delhi,29,11297.0,0.0025670531999645923
274,2020-03-22,Gujarat,18,308.0,0.05844155844155844
275,2020-03-22,Haryana,21,573.0,0.03664921465968586
276,2020-03-22,Himachal Pradesh,2,123.0,0.016260162601626018
277,2020-03-22,Karnataka,26,319.0,0.08150470219435736
278,2020-03-22,Kerala,52,859.0,0.06053550640279395
279,2020-03-22,Madhya Pradesh,4,236.0,0.01694915254237288
280,2020-03-22,Maharashtra,67,365.0,0.18356164383561643
281,2020-03-22,Odisha,2,269.0,0.007434944237918215
282,2020-03-22,Puducherry,1,2598.0,0.00038491147036181676
283,2020-03-22,Punjab,21,550.0,0.038181818181818185
284,2020-03-22,Rajasthan,24,201.0,0.11940298507462686
285,2020-03-22,Tamil Nadu,7,555.0,0.012612612612612612
286,2020-03-22,Telengana,22,312.0,0.07051282051282051
287,2020-03-22,Chandigarh,5,9252.0,0.000540423692174665
288,2020-03-22,Jammu and Kashmir,4,98.0,0.04081632653061224
